"","HIP"
"1",13589
"2",13600
"3",13601
"4",13679
"5",13982
"6",14054
"7",14098
"8",14230
"9",14258
"10",14721
"11",14809
"12",14838
"13",15109
"14",15134
"15",15206
"16",15304
"17",15565
"18",15724
"19",16329
"20",16374
"21",16529
"22",16738
"23",17336
"24",17408
"25",17928
"26",17936
"27",17962
"28",18327
"29",18471
"30",18719
"31",18735
"32",18893
"33",18975
"34",19038
"35",19098
"36",19148
"37",19388
"38",19481
"39",19696
"40",19719
"41",19786
"42",19789
"43",19793
"44",19859
"45",19870
"46",19971
"47",19990
"48",20019
"49",20056
"50",20087
"51",20130
"52",20146
"53",20219
"54",20237
"55",20255
"56",20261
"57",20284
"58",20400
"59",20440
"60",20482
"61",20484
"62",20542
"63",20553
"64",20614
"65",20616
"66",20635
"67",20641
"68",20648
"69",20679
"70",20686
"71",20711
"72",20713
"73",20719
"74",20751
"75",20769
"76",20826
"77",20827
"78",20842
"79",20850
"80",20873
"81",20890
"82",20894
"83",20901
"84",20952
"85",20978
"86",20995
"87",21029
"88",21036
"89",21039
"90",21099
"91",21112
"92",21137
"93",21158
"94",21273
"95",21280
"96",21308
"97",21402
"98",21436
"99",21503
"100",21543
"101",21588
"102",21589
"103",21637
"104",21654
"105",21670
"106",21673
"107",21683
"108",21923
"109",22044
"110",22203
"111",22221
"112",22265
"113",22350
"114",22380
"115",22422
"116",22496
"117",22505
"118",22566
"119",22688
"120",22782
"121",22826
"122",22845
"123",22942
"124",22972
"125",23069
"126",23286
"127",23443
"128",23497
"129",23498
"130",23710
"131",23750
"132",24180
"133",24660
"134",24681
"135",24822
"136",25127
"137",25195
"138",26027
"139",26444
"140",26689
"141",26828
"142",28734
"143",28813
