"","HIP"
"1",13940
"2",14140
"3",14175
"4",14211
"5",14261
"6",14731
"7",14803
"8",14961
"9",15020
"10",15074
"11",15374
"12",15401
"13",15563
"14",15650
"15",15844
"16",15875
"17",16144
"18",16445
"19",16548
"20",16560
"21",16618
"22",16663
"23",16739
"24",16778
"25",16786
"26",16865
"27",16909
"28",17068
"29",17207
"30",17405
"31",17414
"32",17496
"33",17766
"34",17803
"35",17817
"36",18018
"37",18076
"38",18253
"39",18322
"40",18564
"41",18696
"42",18946
"43",19082
"44",19117
"45",19207
"46",19257
"47",19316
"48",19441
"49",19532
"50",19591
"51",19757
"52",19808
"53",19834
"54",19912
"55",19961
"56",19981
"57",20012
"58",20068
"59",20084
"60",20086
"61",20319
"62",20390
"63",20410
"64",20419
"65",20485
"66",20527
"67",20605
"68",20745
"69",20751
"70",20762
"71",21089
"72",21138
"73",21179
"74",21186
"75",21256
"76",21261
"77",21723
"78",21762
"79",21932
"80",21946
